"112q -- Vanhojen osakeasuntojen keskihinnat ja kauppojen lukumäärät postinumeroalueittain ja rakennusvuosittain, 2010-2018"

"Postinumero","Talotyyppi","Rakennusvuosi","2010 Neliöhinta (EUR/m2)","2011 Neliöhinta (EUR/m2)","2012 Neliöhinta (EUR/m2)","2013 Neliöhinta (EUR/m2)","2014 Neliöhinta (EUR/m2)","2015 Neliöhinta (EUR/m2)","2016 Neliöhinta (EUR/m2)","2017 Neliöhinta (EUR/m2)","2018 Neliöhinta (EUR/m2)"
"00540 Kalasatama   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00550 Vallila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4029,.,.,.,.,5353,.,5685,.
"00550 Vallila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,3769,3921,4242,4267,4453,4584,5002,5371
"00560 Toukola-Vanhakaupunki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3850,.,.,5410,4637,.,5346,5345,5672
"00560 Toukola-Vanhakaupunki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",4300,4473,4481,4825,5038,4864,5235,5464,5393
"00570 Kulosaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,4534,.,.,.,5545,5880,6370
"00570 Kulosaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3709,3637,4154,4241,4080,4491,4470,5300,5710
"00580 Verkkosaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00580 Verkkosaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00590 Kaitalahti   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00590 Kaitalahti   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00600 Koskela-Helsinki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3249,.,.,.,.,.,.,.,.
"00600 Koskela-Helsinki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2588,.,2653,.,2969,.,2990,3148,.
"00610 Käpylä   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3887,.,.,.,4998,.,5289,5212,5466
"00610 Käpylä   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,3837,4164,4326,4634,4550,4653,5055,5132
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3339,.,3678,.,4505,4062,.,.,5149
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2872,.,3140,.,3798,3656,.,.,4067
"00630 Maunula-Suursuo   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,3846,.,4389,4440,4286,4697
"00630 Maunula-Suursuo   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2537,2686,3059,3161,3259,3295,3448,3586,3705
"00640 Oulunkylä-Patola   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3221,3269,3745,3863,3964,4404,3974,4194,4277
"00640 Oulunkylä-Patola   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2836,2961,3125,3227,3027,3114,3272,3289,3403
"00650 Veräjämäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00650 Veräjämäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,3373,.,.,3571,.,.
"00660 Länsi-Pakila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00660 Länsi-Pakila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,2653,2592,.,.,.,.,.
"00670 Paloheinä   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00670 Paloheinä   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00680 Itä-Pakila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00680 Itä-Pakila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00700 Malmi   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3462,3361,3762,3750,3882,3883,4066,4168,3972
"00700 Malmi   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2780,2888,2910,2996,3016,3160,3163,3348,3157
"00710 Pihlajamäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3070,2888,3294,3034,3257,3438,3543,3612,3825
"00710 Pihlajamäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2421,2376,2579,2471,2492,2533,2520,2681,2733
"00720 Pukinmäki-Savela   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3589,3762,4019,4156,4153,3970,4164,4309,4179
"00720 Pukinmäki-Savela   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2679,2896,3017,3206,3096,3135,2987,3023,3250
"00730 Tapanila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3614,3527,3564,3995,4295,3872,.,4368,.
"00730 Tapanila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2980,2979,2962,3147,3316,3238,.,3082,.
"00740 Siltamäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3243,3307,3377,3623,3556,3530,.,3618,.
"00740 Siltamäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2354,2445,2449,2438,2551,2290,.,2211,.
"00750 Puistola   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,2783,3282,.,.,3514,.,3449,.
"00750 Puistola   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2590,2291,2387,.,.,2555,.,2571,.
"00760 Suurmetsä   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00760 Suurmetsä   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",1938,.,.,.,.,.,2667,.,.
"00770 Jakomäki - Alppikylä   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00770 Jakomäki - Alppikylä   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,2219,2157,2208,2214,1913,.,.
"00780 Tapaninvainio   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3250,3710,3841,.,.,4116,3918,4385,4185
"00780 Tapaninvainio   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,3121,3000,.,.,3069,3224,3216,3517
"00790 Viikki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,4832,.,5109,.,4881,.
"00790 Viikki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,4166,.,4020,.,4474,.
"00800 Länsi-Herttoniemi   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3839,3877,4205,4182,4927,4635,4797,5031,5383
"00800 Länsi-Herttoniemi   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3142,3262,3449,3790,4010,4128,4249,4321,4612
"00810 Herttoniemi   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3933,3972,4303,.,.,.,.,5147,.
"00810 Herttoniemi   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3696,3949,3873,4276,4402,4449,4702,4665,4896
"00820 Roihuvuori   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3232,3422,3688,3569,3869,3864,4080,4571,4516
"00820 Roihuvuori   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2622,2739,2857,2938,2951,2911,3007,3134,3441
"00830 Tammisalo   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00830 Tammisalo   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,3458,3156,.,.,.,.
"00840 Laajasalo   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3554,3666,3854,3987,4188,4234,4254,4666,4607
"00840 Laajasalo   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2673,2877,2955,3087,3323,3118,3296,3346,3389
"00850 Jollas   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
